2025-11-12 13:03:00.285628, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.286213, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.301252, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.317267, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.333323, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.333908, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.349048, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.365121, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.365564, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.381132, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.397144, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.397566, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.413554, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.429130, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.429551, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.445323, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.461278, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.461814, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.477123, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.493262, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.509236, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.509647, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.525375, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.541207, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.541538, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.557259, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.573418, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.573853, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.589371, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.605468, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.606161, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.621274, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.637453, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.637980, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.653287, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.669480, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.685791, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.686465, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.701508, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.717604, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.718064, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.733799, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.749408, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.749963, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.765402, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.781359, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.781760, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.797395, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.813452, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.813898, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.829475, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.846085, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.861585, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.862269, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.877531, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.893523, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.893992, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.909474, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.925537, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.926081, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.941672, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.957387, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.957695, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.973610, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.989548, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.989953, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.005843, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.022011, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.037968, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.038760, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.053630, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.069741, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.070307, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.086108, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.101937, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.102605, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.118641, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.134890, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.135804, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.149865, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.167022, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.167905, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.182453, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.197788, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:01.213686, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
